Title,Genre,Rating,Gross,Director,Star1,Star2,Star3,Star4,,,,,
,,,,,,,,,,,,,
Desi Boyz,"
Comedy, Drama            ",5.7,$1.07M,Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone,Chitrangda Singh,,,,,
,,,,,,,,,,,,,
Don 2,"
Action, Crime, Thriller            ",7.1,$3.68M,Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra,,,,,
,,,,,,,,,,,,,
Double Dhamaal,"
Comedy, Crime, Drama            ",3.8,$0.54M,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,Javed Jaffrey,,,,,
,,,,,,,,,,,,,
Dum Maaro Dum,"
Action, Crime, Drama            ",6.2,$0.56M,Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu,Rana Daggubati,,,,,
,,,,,,,,,,,,,
F.A.L.T.U,"
Comedy, Drama            ",4.6,NA,Remo D'Souza,Arshad Warsi,Riteish Deshmukh,Jackky Bhagnani,Puja Gupta,,,,,
,,,,,,,,,,,,,
Force,"
Action, Thriller            ",6.4,NA,Nishikant Kamat,John Abraham,Genelia D'Souza,Raj Babbar,Mohnish Bahl,,,,,
,,,,,,,,,,,,,
Gattu,"
Drama            ",7.3,NA,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das,Md. Sohaib,,,,,
,,,,,,,,,,,,,
Impatient Vivek,"
Comedy, Drama, Romance            ",2.3,NA,Rahat Kazmi,Vivek Sudershan,Sayali Bhagat,Ronnaoq Ahuja,Charu Asopa,,,,,
,,,,,,,,,,,,,
Noukadubi,"
Drama, Romance            ",7.6,NA,Rituparno Ghosh,Jishu Sengupta,Riya Sen,Raima Sen,Prasenjit Chatterjee,,,,,
,,,,,,,,,,,,,
Khap,"
Drama, Thriller            ",5.8,NA,Ajai Sinha,Rahul Jaiswal,Raj Arjun,Mohnish Bahl,Yuvika Chaudhry,,,,,
,,,,,,,,,,,,,
Kucch Luv Jaisaa,"
Drama            ",4.2,NA,Shukla Barnali Ray,Shefali Shah,Om Puri,Rahul Bose,Neetu Chandra,,,,,
,,,,,,,,,,,,,
Lanka,"
Action, Crime, Drama            ",5.9,NA,Maqbool Khan,Manoj Bajpayee,Arjan Bajwa,Tia Bajpai,Yashpal Sharma,,,,,
,,,,,,,,,,,,,
Loot,"
Action, Comedy, Crime            ",3.4,NA,Rajnish Thakur,Sanjay Khanna,Shweta Bhardwaj,Mimoh Chakraborty,Prem Chopra,,,,,
,,,,,,,,,,,,,
Love U... Mr. Kalakaar!,"
Drama, Romance            ",5.4,NA,S. Manasvi,Tusshar Kapoor,Amrita Rao,Ram Kapoor,Madhoo,,,,,
,,,,,,,,,,,,,
Luv Ka the End,"
Comedy, Drama            ",4.8,NA,Bumpy,Shraddha Kapoor,Taaha Shah Badusha,Errol Peter Marks,Meherzan Mazda,,,,,
,,,,,,,,,,,,,
Mausam,"
Drama, Romance, War            ",4.7,$0.73M,Pankaj Kapur,Shahid Kapoor,Sonam Kapoor,Anupam Kher,Supriya Pathak,,,,,
,,,,,,,,,,,,,
Mere Brother Ki Dulhan,"
Comedy, Family, Romance            ",5.8,$0.50M,Ali Abbas Zafar,Imran Khan,Katrina Kaif,Ali Zafar,Tara D'Souza,,,,,
,,,,,,,,,,,,,
Miley - Naa Miley - Hum,"
Comedy, Drama, Romance            ",3,NA,Tanveer Khan,Chirag Paswan,Kangana Ranaut,Neeru Bajwa,Sagarika Ghatge,,,,,
,,,,,,,,,,,,,
Mod,"
Drama, Romance, Thriller            ",6.5,NA,Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav,Tanvi Azmi,,,,,
,,,,,,,,,,,,,
Monica,"
Biography, Drama, Thriller            ",5.6,NA,Sushen Bhatnagar,Ashutosh Rana,Divya Dutta,Rajit Kapoor,Yashpal Sharma,,,,,
,,,,,,,,,,,,,
Mujhse Fraaandship Karoge,"
Comedy, Romance            ",6.9,NA,Nupur Asthana,Saqib Saleem,Saba Azad,Nishant Dahiya,Tara D'Souza,,,,,
,,,,,,,,,,,,,
My Friend Pinto,"
Comedy, Crime, Drama            ",5.3,NA,Raaghav Dar,Prateik,Kalki Koechlin,Arjun Mathur,Shruti Seth,,,,,
,,,,,,,,,,,,,
Naughty @ 40,"
Comedy, Drama            ",2.5,NA,Jag Mundhra,Govinda,Yuvika Chaudhry,Anupam Kher,Smita Jaykar,,,,,
,,,,,,,,,,,,,
Patiala House,"
Drama, Sport            ",5.6,NA,Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,Anushka Sharma,,,,,
,,,,,,,,,,,,,
Ra.One,"
Action, Adventure, Sci-Fi            ",4.6,$2.51M,Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Shahana Goswami,,,,,
,,,,,,,,,,,,,
Rascals,"
Action, Comedy, Crime            ",2.9,$0.26M,David Dhawan,Ajay Devgn,Sanjay Dutt,Kangana Ranaut,Lisa Haydon,,,,,
,,,,,,,,,,,,,
Saheb Biwi Aur Gangster,"
Action, Crime, Drama            ",7.2,NA,Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Randeep Hooda,Shreya Narayan,,,,,
,,,,,,,,,,,,,
Sahi Dhandhe Galat Bande,"
Action, Comedy, Drama            ",4.9,NA,Parvin Dabas,Anupam Kher,Sharat Saxena,Udit Khurana,Tina Desai,,,,,
,,,,,,,,,,,,,
Shabri,"
Action, Crime, Drama            ",5.7,NA,Lalit Marathe,Isha Koppikar,Raj Arjun,Manish Wadhwa,Pradeep Singh Rawat,,,,,
,,,,,,,,,,,,,
Shagird,"
Action, Crime, Drama            ",7,NA,Tigmanshu Dhulia,Nana Patekar,Mohit Ahlawat,Rimi Sen,Anurag Kashyap,,,,,
,,,,,,,,,,,,,
Shor in the City,"
Crime, Drama            ",7.2,NA,Krishna D.K.,Raj Nidimoru,Sendhil Ramamurthy,Tusshar Kapoor,Nikhil Dwivedi,,,,,
,,,,,,,,,,,,,
Singham,"
Action, Drama            ",6.7,$0.35M,Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj,Sonali Kulkarni,,,,,
,,,,,,,,,,,,,
Soundtrack,"
Drama, Musical            ",7.1,NA,Neerav Ghosh,Rajeev Khandelwal,Soha Ali Khan,Mrinalini Sharma,Mohan Kapoor,,,,,
,,,,,,,,,,,,,
Tanu Weds Manu,"
Comedy, Drama, Romance            ",6.7,NA,Aanand L. Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,Deepak Dobriyal,,,,,
,,,,,,,,,,,,,
Teen Thay Bhai,"
Comedy, Drama            ",4.3,NA,Mrighdeep Lamba,Om Puri,Deepak Dobriyal,Ragini Khanna,Naresh Gosain,,,,,
,,,,,,,,,,,,,
Tere Mere Phere,"
Comedy, Drama, Romance            ",5.4,NA,Deepa Sahi,Vinay Pathak,Riya Sen,Jagrat Desai,Sasha Goradia,,,,,
,,,,,,,,,,,,,
That Girl in Yellow Boots,"
Crime, Drama, Mystery            ",6.7,NA,Anurag Kashyap,Kalki Koechlin,Prashant Prakash,Naseeruddin Shah,Gulshan Devaiah,,,,,
,,,,,,,,,,,,,
Kaavalan,"
Action, Drama, Romance            ",6.7,NA,Siddique,Joseph Vijay,Asin,Raj Kiran,Vadivelu,,,,,
,,,,,,,,,,,,,
The Dirty Picture,"
Biography, Drama            ",6.6,NA,Milan Luthria,Vidya Balan,Emraan Hashmi,Tusshar Kapoor,Naseeruddin Shah,,,,,
,,,,,,,,,,,,,
United Six,"
Action, Drama, Thriller            ",3.9,NA,Vishal Aryan Singh,Russell Geoffrey Banks,Leigh Barwell,Isha Batwe,Daisy Bopanna,,,,,
,,,,,,,,,,,,,
Zindagi Na Milegi Dobara,"
Comedy, Drama            ",8.1,$3.11M,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,,,,,
,,,,,,,,,,,,,
Zokkomon,"
Action, Adventure            ",4,NA,Satyajit Bhatkal,Darsheel Safary,Anupam Kher,Manjari Fadnnis,Tinnu Anand,,,,,
,,,,,,,,,,,,,
Gangs of Wasseypur,"
Action, Comedy, Crime            ",8.2,NA,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,,,,,
,,,,,,,,,,,,,
Gangs of Wasseypur,"
Action, Comedy, Crime            ",8.2,NA,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,,,,,
,,,,,,,,,,,,,
Kahaani,"
Mystery, Thriller            ",8.1,$1.04M,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,,,,,
,,,,,,,,,,,,,
Vicky Donor,"
Comedy, Romance            ",7.8,$0.17M,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,,,,,
,,,,,,,,,,,,,
Ekk Deewana Tha,"
Drama, Romance            ",5.9,NA,Goutham Vasudev Menon,Prateik,Amy Jackson,Sachin Khedekar,Manu Rishi Chadha,,,,,
,,,,,,,,,,,,,
OMG: Oh My God!,"
Comedy, Drama, Fantasy            ",8.2,$0.92M,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Om Puri,,,,,
,,,,,,,,,,,,,
English Vinglish,"
Comedy, Drama, Family            ",7.8,$1.67M,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,,,,,
,,,,,,,,,,,,,
3 Bachelors,"
Comedy, Romance            ",3.4,NA,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,Manish Nagpal,,,,,
,,,,,,,,,,,,,
Agent Vinod,"
Action, Adventure, Thriller            ",5.1,$0.63M,Sriram Raghavan,Saif Ali Khan,Kareena Kapoor,Adil Hussain,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Aiyyaa,"
Comedy, Romance            ",4.3,NA,Sachin Kundalkar,Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant,Subodh Bhave,,,,,
,,,,,,,,,,,,,
Agneepath,"
Action, Drama            ",6.9,$1.98M,Karan Malhotra,Hrithik Roshan,Priyanka Chopra,Sanjay Dutt,Rishi Kapoor,,,,,
,,,,,,,,,,,,,
Barfi!,"
Comedy, Drama, Romance            ",8.1,$2.80M,Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,,,,,
,,,,,,,,,,,,,
Bhoot Returns,"
Horror, Mystery, Thriller            ",2.5,NA,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma,Nitin Jadhav,,,,,
,,,,,,,,,,,,,
Bittoo Boss,"
Romance            ",4.1,NA,Supavitra Babul,Pulkit Samrat,Rajesh Bakshi,Ujjwal Chopra,Wamiqa Gabbi,,,,,
,,,,,,,,,,,,,
Bol Bachchan,"
Action, Comedy            ",5.5,$1.22M,Rohit Shetty,Amitabh Bachchan,Ajay Devgn,Abhishek Bachchan,Prachi Desai,,,,,
,,,,,,,,,,,,,
Blood Money,"
Action, Drama, Thriller            ",5.1,NA,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri,Shekar Shukla,,,,,
,,,,,,,,,,,,,
Bumboo,"
Comedy            ",7.2,NA,Jagdish Rajpurohit,Kavin Dave,Sharat Saxena,Sanjay Mishra,Sarika,,,,,
,,,,,,,,,,,,,
Chakravyuh,"
Action, Drama, Thriller            ",6.8,NA,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,Esha Gupta,,,,,
,,,,,,,,,,,,,
Chaalis Chauraasi,"
Comedy, Crime            ",6.1,NA,Hriday Shetty,Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni,Ravi Kishan,,,,,
,,,,,,,,,,,,,
Chaar Din Ki Chandni,"
Comedy, Romance            ",4.1,NA,Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher,Om Puri,,,,,
,,,,,,,,,,,,,
Cocktail,"
Comedy, Drama, Romance            ",6.3,$1.03M,Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,Dimple Kapadia,,,,,
,,,,,,,,,,,,,
Dabangg 2,"
Action, Comedy            ",4.9,$2.52M,Arbaaz Khan,Salman Khan,Sonakshi Sinha,Prakash Raj,Vinod Khanna,,,,,
,,,,,,,,,,,,,
Department,"
Action, Crime, Thriller            ",3.2,NA,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu,Vijay Raaz,,,,,
,,,,,,,,,,,,,
Ek Tha Tiger,"
Action, Romance, Thriller            ",5.5,$2.35M,Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad,Roshan Seth,,,,,
,,,,,,,,,,,,,
Fatso!,"
Comedy, Fantasy, Romance            ",5.7,NA,Rajat Kapoor,Gul Panag,Purab Kohli,Ranvir Shorey,Bharti Achrekar,,,,,
,,,,,,,,,,,,,
Ferrari Ki Sawaari,"
Comedy, Drama, Family            ",6.4,$0.42M,Rajesh Mapuskar,Sharman Joshi,Boman Irani,Ritvik Sahore,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Filmistaan,"
Comedy            ",7.3,NA,Nitin Kakkar,Sharib Hashmi,Inaamulhaq,Kumud Mishra,Gopal Dutt,,,,,
,,,,,,,,,,,,,
Gali Gali Chor Hai,"
Comedy, Drama, Family            ",5.1,NA,Rumi Jaffery,Akshaye Khanna,Mugdha Godse,Satish Kaushik,Annu Kapoor,,,,,
,,,,,,,,,,,,,
Housefull 2,"
Action, Comedy, Musical            ",5.2,$1.50M,Sajid Khan,Akshay Kumar,John Abraham,Asin,Jacqueline Fernandez,,,,,
,,,,,,,,,,,,,
Ishaqzaade,"
Action, Drama, Romance            ",6.5,NA,Habib Faisal,Arjun Kapoor,Parineeti Chopra,Gauhar Khan,Anil Rastogi,,,,,
,,,,,,,,,,,,,
Jalpari: The Desert Mermaid,"
Drama, Family, Mystery            ",7.2,NA,Nila Madhab Panda,Harish Chabbra,Tannishtha Chatterjee,Parvin Dabas,Rajendra Gupta,,,,,
,,,,,,,,,,,,,
Jism 2,"
Drama, Thriller            ",3,NA,Pooja Bhatt,Randeep Hooda,Arunoday Singh,Arif Zakaria,Sunny Leone,,,,,
,,,,,,,,,,,,,
Jodi Breakers,"
Comedy, Musical, Romance            ",3.5,NA,Ashwini Chaudhary,Bipasha Basu,Helen,Pradeep Kharab,Madhavan,,,,,
,,,,,,,,,,,,,
Joker,"
Comedy, Family, Sci-Fi            ",2.4,$0.13M,Shirish Kunder,Akshay Kumar,Sonakshi Sinha,Shreyas Talpade,Minissha Lamba,,,,,
,,,,,,,,,,,,,
Kismet Love Paisa Dilli,"
Adventure, Comedy, Crime            ",4.2,NA,Sanjay M. Khanduri,Vivek Oberoi,Mallika Sherawat,Neha Dhupia,Anshuman Jha,,,,,
,,,,,,,,,,,,,
Kyaa Super Kool Hain Hum,"
Comedy            ",5,NA,Sachin Yardi,Riteish Deshmukh,Neha Sharma,Tusshar Kapoor,Kavin Dave,,,,,
,,,,,,,,,,,,,
Mere Dost Picture Abhi Baaki Hai,"
Comedy            ",3.5,NA,Rajnish Thakur,Sunil Shetty,Udita Goswami,Rajpal Yadav,Mukesh Ahuja,,,,,
,,,,,,,,,,,,,
Mr Bhatti on Chutti,"
Comedy            ",4,NA,Karan Razdan,Anupam Kher,Bhairavi Goswami,Amaan Irees,Shakti Kapoor,,,,,
,,,,,,,,,,,,,
Players,"
Action, Crime, Thriller            ",4.1,NA,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vinod Khanna,Abhishek Bachchan,Bobby Deol,,,,,
,,,,,,,,,,,,,
Paan Singh Tomar,"
Action, Biography, Crime            ",8.2,$0.04M,Tigmanshu Dhulia,Irrfan Khan,Hemendra Dandotiya,Navneet Gairola,Mahie Gill,,,,,
,,,,,,,,,,,,,
Rowdy Rathore,"
Action            ",5.7,$0.78M,Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar,Yashpal Sharma,,,,,
,,,,,,,,,,,,,
Rush,"
Crime, Thriller            ",3.7,NA,Shamin Desai,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia,Aditya Pancholi,,,,,
,,,,,,,,,,,,,
